*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Layout
*Date=21:39:12
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;80.5783;-69.0334;0;Bottom;7 Segment31
2;;;80.5518;-94.4229;0;Bottom;7 Segment30
3;;;133.821;-64.1832;0;Bottom;Via137
4;;tactile-pth-12mm;22.1015;-19.833;90;Bottom;S6
5;;;47.4868;-46.3865;0;Bottom;Via60
6;;;72.8465;-97.1755;0;Bottom;Via161
7;;;90.6208;-87.0644;0;Bottom;Via183
8;;;103.333;-74.324;0;Bottom;Via189
9;;;67.7975;-71.8193;0;Bottom;Via106
10;;;47.4953;-97.1755;0;Bottom;Via155
11;;;80.5783;-43.6334;0;Bottom;7 Segment32
12;;;113.489;-84.5043;0;Bottom;Via186
13;;;70.3065;-66.7164;0;Bottom;Via129
14;;;47.4953;-97.1755;0;Bottom;Via154
15;;;4.98151;-5.00298;0;Bottom;Hole4
16;;;55.1871;-94.4229;0;Bottom;7 Segment36
17;;;60.1338;-46.3865;0;Bottom;Via110
18;;;77.9304;-74.3401;0;Bottom;Via130
19;;;77.9166;-97.1755;0;Bottom;Via162
20;;;62.6563;-94.6135;0;Bottom;Via148
21;;;34.7705;-71.8193;0;Bottom;Via65
22;;;39.8222;-66.7091;0;Bottom;Via26
23;;;70.3065;-69.2437;0;Bottom;Via127
24;;;27.1861;-41.3305;0;Bottom;Via3
25;;;77.9166;-97.1755;0;Bottom;Via163
26;;DIP (Dual Inline) [THT];112.232;-93.3931;-90;Bottom;MAX 7224
27;;DIP (Dual Inline) [THT];112.232;-67.9931;-90;Bottom;MAX 7225
28;;;82.9983;-64.2072;0;Bottom;Via120
29;;;67.8783;-69.0334;0;Bottom;7 Segment34
